ID1 ID2 HetHet IBS0 Kinship
1015310 2886487 0.054 0.0088 0.1355
1015417 1563250 0.074 0.0056 0.2368
1015554 5339618 0.045 0.0147 0.0557
1015720 4804738 0.083 0.0032 0.2876
1015805 1887089 0.044 0.0143 0.0582
1015805 4596401 0.045 0.0143 0.0596
1015877 2110786 0.046 0.0145 0.0614
1015877 2486571 0.045 0.0163 0.0443
1015913 2228631 0.047 0.0132 0.0737
1015942 3163444 0.045 0.0151 0.0528
1016004 1717120 0.077 0.004 0.2552
1016004 4984687 0.047 0.0137 0.0705
1016018 1280585 0.053 0.01 0.1225
1016085 2831171 0.047 0.014 0.0665
1016096 2317422 0.046 0.0143 0.0611
1016096 2986918 0.047 0.0132 0.0672
1016128 1151578 0.046 0.0136 0.0704
1016128 1390772 0.045 0.0151 0.0531
1016128 2131035 0.046 0.0145 0.0606
1016128 2212634 0.044 0.0156 0.0475
1016216 4457541 0.051 0.0101 0.1083
1016241 4178158 0.046 0.0139 0.0643
1016270 2501092 0.047 0.0138 0.0722
1016311 4181398 0.047 0.0132 0.0755
1016335 3831541 0.047 0.0132 0.0756
1016335 5168696 0.075 0.0057 0.2387
1016335 5265307 0.047 0.0129 0.0798
1016499 2020630 0.032 0.0116 0.0495
1016572 2616326 0.047 0.0131 0.0781
1016623 5432205 0.076 0.0037 0.2567
1016739 1629208 0.047 0.0136 0.0709
1016743 1039480 0.071 0.0069 0.2119
1016786 3282503 0.082 0.0034 0.2806
1016806 4711918 0.06 0.0038 0.2596
1016814 3456554 0.044 0.0151 0.0483
1016851 5671916 0.044 0.0155 0.0489
1016919 1973110 0.047 0.0143 0.0604
1016926 2403032 0.047 0.0138 0.0668
1016932 1167753 0.072 0.0058 0.2262
1016932 4122616 0.045 0.0153 0.0531
1016963 4308025 0.046 0.0134 0.0707
1016963 5956385 0.08 0.0044 0.2644
1016975 1414029 0.074 0.0054 0.2354
1017022 2173022 0.047 0.014 0.0699
1017035 2743588 0.045 0.0148 0.0544
1017105 3643916 0.047 0.0132 0.0733
1017121 5609301 0.048 0.0133 0.0737
1017164 1875082 0.045 0.0144 0.0613
1017177 5817624 0.045 0.0152 0.0479
1017248 1365745 0.054 0.0111 0.1175
1017289 1794824 0.074 0.0048 0.2397
1017289 3569018 0.047 0.0143 0.0647
1017293 5494266 0.072 0.0058 0.2276
1017371 2412448 0.055 0.0081 0.142
1017408 2640540 0.045 0.0154 0.0524
1017440 3683455 0.053 0.0085 0.1318
1017529 1817615 0.047 0.0147 0.0631
1017529 2355530 0.048 0.0133 0.0776
1017541 2150002 0.076 0.0057 0.2389
1017541 3156447 0.077 0.0044 0.2521
1017553 1531897 0.048 0.0135 0.0762
1017570 3044493 0.048 0.0136 0.0741
1017674 2561831 0.077 0.0055 0.2466
1017710 4636007 0.077 0.0055 0.246
1017734 4205570 0.045 0.0154 0.0512
1017734 4676114 0.047 0.0138 0.0717
1017807 3309688 0.044 0.0148 0.0514
1017826 3894643 0.071 0.0071 0.2092
1017881 2455325 0.045 0.0147 0.056
1017881 3830429 0.046 0.0145 0.0615
1017927 3203956 0.069 0.0057 0.2152
1017949 1595389 0.047 0.0136 0.0727
1017965 3278229 0.065 0 0.2452
1017965 5777104 0.076 0.0045 0.252
1018086 4621864 0.053 0.0097 0.1242
1018220 1296823 0.043 0.0154 0.0454
1018220 3693476 0.044 0.0153 0.0463
1018220 5964826 0.045 0.0149 0.0529
1018271 5376551 0.044 0.0152 0.0482
1018407 5116917 0.046 0.0147 0.0593
